taxonID	scientificNameID	localID	scientificName	taxonRank	parentNameUsageID	scientificNameAuthorship	family	subfamily	tribe	subtribe	genus	subgenus	specificEpithet	infraspecificEpithet	verbatimTaxonRank	nomenclaturalStatus	namePublishedIn	taxonomicStatus	acceptedNameUsageID	originalNameUsageID	nameAccordingToID	taxonRemarks	created	modified	references	source	majorGroup	tplID
wfo-0001302076		9906015	"Cyperus pellucida"	species		C.Presl	Cyperaceae		Cypereae	Cyperinae	Cyperus		pellucida		species			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906015 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906015 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682336	"The Cyperaceae TEN"	A	tro-9906015
wfo-0001302077		9906017	"Cyperus petasata"	species		Zinserl.	Cyperaceae		Cypereae	Cyperinae	Cyperus		petasata		species			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906017 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906017 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682339	"The Cyperaceae TEN"	A	tro-9906017
wfo-0001302078		9906018	"Cyperus quinqueflora"	species		O.Schwarz	Cyperaceae		Cypereae	Cyperinae	Cyperus		quinqueflora		species			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906018 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906018 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682343	"The Cyperaceae TEN"	A	tro-9906018
wfo-0001302079		9906039	"Elyna myosuroides"	species		Fritsch	Cyperaceae		Cariceae		Elyna		myosuroides		species			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906039 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906039 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682447	"The Cyperaceae TEN"	A	tro-9906039
wfo-0001302080		9906045	"Eriophorum gracile subsp. asiaticum"	subspecies		Tolm.	Cyperaceae		Scirpeae		Eriophorum		gracile	asiaticum	subspecies			Synonym	wfo-0000414996			"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906045 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906045 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1703579	"The Cyperaceae TEN"	A	tro-9906045
wfo-0001302081	urn:lsid:ipni.org:names:77257781-1	9906046	"Eriophorum gracile subsp. coreanum"	subspecies		"(Palla) Hultén"	Cyperaceae		Scirpeae		Eriophorum		gracile	coreanum	subspecies	Valid	"Kongl. Svenska Vetensk. Acad. Handl. ser. 3, 5: 160 (1927)"	Synonym	wfo-0000414996	wfo-0000414953		"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906046 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906046 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1703397	"The Cyperaceae TEN"	A	tro-9906046
wfo-0001302082	urn:lsid:ipni.org:names:77274494-1	9906047	"Eriophorum gracile var. coreanum"	variety		"(Palla) Ohwi"	Cyperaceae		Scirpeae		Eriophorum		gracile	coreanum	variety	Valid	"Mem. Coll. Sci. Kyoto Imp. Univ., Ser. B, Biol. 18(1): 88 (1944)"	Synonym	wfo-0000414996	wfo-0000414953		"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906047 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906047 >The Plant List v.1.0</a>"	2022-04-16	2025-12-15	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1706018	"The Cyperaceae TEN"	A	tro-9906047
wfo-0001302083		9906058	"Scirpus fauriei subsp. vaginatus"	subspecies		T.Koyama	Cyperaceae		Scirpeae		Scirpus		fauriei	vaginatus	subspecies			Synonym	wfo-0000415166			"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906058 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906058 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1703581	"The Cyperaceae TEN"	A	tro-9906058
wfo-0001302084	urn:lsid:ipni.org:names:77257550-1	9906059	"Eriophorum vaginatum subsp. fauriei"	subspecies		"(E.G.Camus) Á.Löve & D.Löve"	Cyperaceae		Scirpeae		Eriophorum		vaginatum	fauriei	subspecies	Valid	"Univ. Colorado Stud., Ser. Biol. 17: 13 (1965)"	Synonym	wfo-0000415166	wfo-0000414968		"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906059 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906059 >The Plant List v.1.0</a>"	2022-04-16	2025-12-15	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1703408	"The Cyperaceae TEN"	A	tro-9906059
wfo-0001302085	urn:lsid:ipni.org:names:77257115-1	9906068	"Holoschoenus romanus subsp. holoschoenus"	subspecies		"(L.) Greuter"	Cyperaceae		Cypereae	Ficiniinae	Holoschoenus		romanus	holoschoenus	subspecies	Valid	"Boissiera 13: 166 (1967)"	Synonym	wfo-0000533499	wfo-0000538958		"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906068 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906068 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1703524	"The Cyperaceae TEN"	A	tro-9906068
wfo-0001302086		9906080	"Kobresia capillifolia subsp. pamirica"	subspecies		Ovcz.	Cyperaceae		Cariceae		Kobresia		capillifolia	pamirica	subspecies			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906080 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906080 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1713848	"The Cyperaceae TEN"	A	tro-9906080
wfo-0001302087		9906096	"Mariscus cyri"	species		Grossh.	Cyperaceae		Cypereae	Cyperinae	Mariscus		cyri		species			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906096 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906096 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682378	"The Cyperaceae TEN"	A	tro-9906096
wfo-0001302088		9906102	"Pycreus rehmannii"	species		"Palla ex Grossh."	Cyperaceae		Cypereae	Cyperinae	Pycreus		rehmannii		species			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906102 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906102 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682384	"The Cyperaceae TEN"	A	tro-9906102
wfo-0001302089		9906105	"Pycreus nilagiricus"	species		"(Hochst. ex Steud.) E.G.Camus"	Cyperaceae		Cypereae	Cyperinae	Pycreus		nilagiricus		species	Valid	"Fl. Indo-Chine 7(1): 32 (1912)"	Synonym	wfo-0000373599	wfo-0000378315		"Source in seed data: tro Nomenclatural status in seed:  More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906105 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906105 >The "	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1686161	"The Cyperaceae TEN"	A	tro-9906105
