cactus_id,legacy_display_name,accepted_name,accepted_author,accepted_genus,species,subfamily,tribe,names_count,all_names,all_names_with_status,photo_main_url,photo_flower_url,photo_spines_url,morphology_stem,morphology_spines,morphology_flower,morphology_fruit,notes_ru
wfo-0000632416,Opuntia pallida,Cylindropuntia pallida,(Rose) F.M.Knuth,Cylindropuntia,pallida,,,2,Cylindropuntia pallida | Opuntia pallida,Cylindropuntia pallida [Accepted] | Opuntia pallida [Synonym],,,,,,,,
wfo-0000632417,Opuntia parryi,Cylindropuntia × parryi,(Engelm.) F.M.Knuth,Cylindropuntia,parryi,,,3,Cylindropuntia × parryi | Opuntia parryi | Opuntia serpentina,Cylindropuntia × parryi [Accepted] | Opuntia parryi [Synonym] | Opuntia serpentina [Synonym],,,,,,,,
wfo-0000638870,Nyctocereus chontalensis,Deamia chontalensis,(Alexander) Doweld,Deamia,chontalensis,,,4,Deamia chontalensis | Nyctocereus chontalensis | Selenicereus chontalensis | Strophocactus chontalensis,Deamia chontalensis [Accepted] | Nyctocereus chontalensis [Synonym] | Selenicereus chontalensis [Synonym] | Strophocactus chontalensis [Synonym],,,,,,,,
wfo-0000652019,Echinocactus zehntneri,Discocactus zehntneri,Britton & Rose,Discocactus,zehntneri,,,3,Discocactus albispinus | Discocactus zehntneri | Echinocactus zehntneri,Discocactus albispinus [Synonym] | Discocactus zehntneri [Accepted] | Echinocactus zehntneri [Synonym],,,,,,,,
wfo-0000652027,Discocactus araneispinus,Discocactus araneispinus,Buining & Brederoo,Discocactus,araneispinus,,,2,Discocactus araneispinus | Discocactus boomianus,Discocactus araneispinus [Synonym] | Discocactus boomianus [Synonym],,,,,,,,
wfo-0000651930,Echinocactus bahiensis,Discocactus bahiensis,Britton & Rose,Discocactus,bahiensis,,,3,Discocactus bahiensis | Discocactus subviridigriseus | Echinocactus bahiensis,Discocactus bahiensis [Accepted] | Discocactus subviridigriseus [Synonym] | Echinocactus bahiensis [Synonym],,,,,,,,
wfo-0000651935,Discocactus biformis,Discocactus biformis,Walp.,Discocactus,biformis,,,1,Discocactus biformis,Discocactus biformis [Unchecked],,,,,,,,
wfo-0000651938,Discocactus buenekeri,Discocactus buenekeri,W.R.Abraham,Discocactus,buenekeri,,,1,Discocactus buenekeri,Discocactus buenekeri [Accepted],,,,,,,,
wfo-0000651940,Discocactus cangaensis,Discocactus catingicola,Buining & Brederoo,Discocactus,catingicola,,,11,Discocactus cangaensis | Discocactus catingicola | Discocactus crassispinus | Discocactus estevesii | Discocactus griseus | Discocactus nigrisaetosus | Discocactus piauiensis | Discocactus prominentigibbus | Discocactus rapirhizus | Discocactus silvaticus | Discocactus spinosior,Discocactus cangaensis [Synonym] | Discocactus catingicola [Accepted] | Discocactus crassispinus [Synonym] | Discocactus estevesii [Synonym] | Discocactus griseus [Synonym] | Discocactus nigrisaetosus [Synonym] | Discocactus piauiensis [Synonym] | Discocactus prominentigibbus [Synonym] | Discocactus rapirhizus [Synonym] | Discocactus silvaticus [Synonym] | Discocactus spinosior [Synonym],,,,,,,,
wfo-0000651951,Discocactus paranaensis,Discocactus diersianus,Esteves,Discocactus,diersianus,,,6,Discocactus cephaliaciculosus | Discocactus diersianus | Discocactus goianus | Discocactus lindaianus | Discocactus mamillosus | Discocactus paranaensis,Discocactus cephaliaciculosus [Synonym] | Discocactus diersianus [Accepted] | Discocactus goianus [Synonym] | Discocactus lindaianus [Synonym] | Discocactus mamillosus [Synonym] | Discocactus paranaensis [Synonym],,,,,,,,
