tax_id,accepted_name,synonym,symbol,synonym_symbol,name
1262546,Echinocereus coccineus,Echinocereus triglochidiatus subsp. coccineus,,,
1262547,Echinocereus stolonifer,Echinocereus stoloniferus,,,
246734,Mammillaria centralifera,Mammillaria compressa subsp. centralifera,,,
246746,Echinopsis schieliana,Lobivia schieliana,,,
246747,Echinopsis schieliana subsp. 'leptacantha',Echinopsis schieliana subsp. leptacantha,,,
246741,Mammillaria multiceps,Mammillaria prolifera var. multiceps,,,
246744,Mammillaria viperina,Mammillaria sphacelata subsp. viperina,,,
107611,Quiabentia verticillata,Pereskia verticillata,,,
1131669,Eriosyce chilensis,Echinocactus chilensis,,,
1131670,Eriosyce curvispina,Cactus curvispinus,,,
1131670,Eriosyce curvispina,Pyrrhocactus curvispinus,,,
1131672,Eriosyce krausii,Chileorebutia krausii,,,
1131672,Eriosyce krausii,Eriosyce odieri subsp. krausii,,,
1131673,Eriosyce odieri,Echinocactus odieri,,,
1131675,Eriosyce paucicostata,Horridocactus paucicostatus,,,
1131676,Eriosyce senilis,Neoporteria senilis,,,
1131677,Eriosyce senilis subsp. coimasensis,Neoporteria coimasensis,,,
1131679,Eriosyce sociabilis,Neoporteria sociabilis,,,
1131681,Eriosyce subgibbosa subsp. nigrihorrida,Chilenia nigrihorrida,,,
1131685,Eriosyce subgibbosa var. castanea,Eriosyce subgibbosa subsp. subgibbosa var. castanea,,,
1131685,Eriosyce subgibbosa var. castanea,Neoporteria castanea,,,
1131688,Eriosyce taltalensis subsp. pilispina,Pyrrhocactus pilispinus,,,
1131689,Eriosyce taltalensis subsp. pygmaea,Eriosyce pygmaea,,,
1131689,Eriosyce taltalensis subsp. pygmaea,Pyrrhocactus pygmaeus,,,
1131692,Eriosyce villosa,Cactus villosus,,,
1131692,Eriosyce villosa,Neoporteria villosa,,,
3081412,Opuntia basilaris var. longiareolata,Opuntia longiareolata,,,
3081414,Opuntia comonduensis,Opuntia angustata var. comonduensis,,,
3081415,Opuntia polyacantha var. arenaria,Opuntia arenaria,,,
