symbol,scientific_name,author
MARH2,Mammillaria rhodantha Link & Otto,Otto
WIFR2,Wigginsia fricii (Arechav.) D.M. Porter,Porter
ASOR9,Astrophytum ornatum (DC.) Britton & Rose,Rose
OPAT,Opuntia atrispina Griffiths,Griffiths
OPCH2,Opuntia lindheimeri Engelm. var. chisosensis Anthony,Anthony
OPLA2,Opuntia phaeacantha Engelm. var. laevis (J.M. Coult.) L.D. Benson,Benson
ECPEW,Echinocereus pectinatus (Scheidw.) Engelm. ssp. wenigeri (L.D. Benson) Blum & Rutow,Rutow
ECCRE3,Eccremocactus Britton & Rose,Rose
ECREF2,Echinocereus reichenbachii (Terscheck ex Walp.) hort ex Haage var. fitchii (Britton & Rose) L.D. Benson,Benson
THSE5,Ferocactus setispinus (Engelm.) L.D. Benson,Benson
GLUNU,Thelocactus uncinatus (Galeotti) W.T. Marshall,Marshall
SCPO4,Echinocactus polyancistrus Engelm. & J.M. Bigelow,Bigelow
SEGR10,Selenicereus macdonaldiae (Hook.) Britton & Rose,Rose
CLIC2,Borzicactus icosagonus (Kunth) Britton & Rose,Rose
OPENF,Opuntia phaeacantha Engelm. var. flavispina L.D. Benson,Benson
ESRO,Cochiseia robbinsiorum W.H. Earle,Earle
ECENP,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. purpureus L.D. Benson,Benson
ECREP2,Echinocereus reichenbachii (Terscheck ex Walp.) hort ex Haage var. perbellus (Britton & Rose) L.D. Benson,Benson
ESVI2,Escobaria vivipara (Nutt.) Buxbaum,Buxbaum
