genus,species,scientificName,acceptedNameUsage
Peniocereus,Peniocereus serpentinus,Nyctocereus serpentinus (Lag. & Rodr.) Britton & Rose,Nyctocereus serpentinus
Opuntia,Opuntia wilcoxii,Opuntia wilcoxii Britton & Rose,Opuntia wilcoxii
Cylindropuntia,Cylindropuntia thurberi,Cylindropuntia thurberi (Engelm.) F.M.Knuth,Cylindropuntia thurberi
Echinocereus,Echinocereus acifer,Echinocereus acifer (Otto ex Salm-Dyck) Haage,Echinocereus acifer
Cephalocereus,Cephalocereus fulviceps,Pseudomitrocereus fulviceps (F.A.C.Weber ex K.Schum.) Bravo & Buxb.,Cephalocereus fulviceps
Opuntia,Opuntia fuliginosa,Opuntia fuliginosa Griffiths,Opuntia fuliginosa
Miqueliopuntia,Miqueliopuntia miquelii,Opuntia pulverulenta Pfeiff.,Miqueliopuntia miquelii
Opuntia,Opuntia mesacantha,Opuntia mesacantha Raf.,Opuntia humifusa subsp. humifusa
Opuntia,Opuntia guilanchii,Opuntia guilanchii Griffiths,Opuntia guilanchi
Acanthocereus,Acanthocereus oaxacensis,Peniocereus oaxacensis (Britton & Rose) D.R.Hunt,Acanthocereus oaxacensis
Pelecyphora,Pelecyphora chihuahuensis,Escobaria chihuahuensis Britton & Rose,Escobaria chihuahuensis
Acanthocereus,Acanthocereus hirschtianus,Peniocereus hirschtianus (K.Schum.) D.R.Hunt,Acanthocereus hirschtianus
Mammillaria,Mammillaria senilis,Mammillaria senilis Lodd. ex Salm-Dyck,Mammillaria senilis
Cylindropuntia,Cylindropuntia sanfelipensis,Opuntia sanfelipensis Rebman,Cylindropuntia sanfelipensis
Coryphantha,Coryphantha delicata,Coryphantha delicata L.Bremer,Coryphantha delicata
Opuntia,Opuntia scheeri,Opuntia scheeri F.A.C.Weber,Opuntia scheeri
Stenocereus,Stenocereus eichlamii,Stenocereus eichlamii (Britton & Rose) Buxb. ex Bravo,Pachycereus eichlamii
Grusonia,Grusonia invicta,Grusonia invicta (Brandegee) E.F.Anderson,Grusonia invicta
Stenocereus,Stenocereus dumortieri,Isolatocereus dumortieri (Scheidw.) Backeb.,Isolatocereus dumortieri
Myrtillocactus,Myrtillocactus schenckii,Myrtillocactus schenckii (J.A.Purpus) Britton & Rose,Myrtillocactus schenckii
Mammillaria,Mammillaria compressa,Mammillaria compressa DC.,Mammillaria compressa
Echinocereus,Echinocereus cinerascens,Echinocereus cinerascens (DC.) Lem.,Echinocereus cinerascens
Echinocereus,Echinocereus pentalophus,Echinocereus pentalophus (DC.) Engelm. ex Haage,Echinocereus pentalophus
Epiphyllum,Epiphyllum pumilum,Epiphyllum pumilum (Vaupel) Britton & Rose,Epiphyllum pumilum
Mammillaria,Mammillaria schiedeana,Mammillaria schiedeana C.Ehrenb.,Mammillaria schiedeana
Ferocactus,Ferocactus gracilis,Ferocactus gracilis H.E.Gates,Ferocactus gracilis
Weberocereus,Weberocereus glaber,Werckleocereus glaber (Eichlam) Britton & Rose,Weberocereus glaber subsp. glaber
Opuntia,Opuntia robinsonii,Opuntia robinsonii J.G.Ortega,Opuntia robinsonii
Opuntia,Opuntia feroacantha,Opuntia feroacantha Britton & Rose,Opuntia feroacantha
Cephalocereus,Cephalocereus nudus,Neobuxbaumia squamulosa Scheinvar & Sánchez-Mej.,Cephalocereus nudus
Opuntia,Opuntia albicarpa,"Opuntia albicarpa Scheinvar, 1995",Opuntia megacantha
Parrycactus,Parrycactus alamosanus,Ferocactus alamosanus (Britton & Rose) Britton & Rose,Ferocactus alamosanus
Pelecyphora,Pelecyphora emskoetteriana,Escobaria emskoetteriana (Quehl) Borg,Escobaria emskoetteriana
Opuntia,Opuntia inaperta,Nopalea inaperta Schott ex Griffith,Opuntia inaperta
Opuntia,Opuntia macrorhiza,Opuntia macrorhiza Engelm.,Opuntia macrorhiza
Pelecyphora,Pelecyphora hesteri,"Escobaria grata M.Kaplan, Kunte & Snicer",Escobaria hesteri subsp. grata
Cochemiea,Cochemiea conoidea,Neolloydia conoidea (DC.) Britton & Rose,Neolloydia conoidea
Cephalocereus,Cephalocereus apicicephalium,Cephalocereus apicicephalium E.Y.Dawson,Cephalocereus apicicephalium
Echinocereus,Echinocereus polyacanthus,Echinocereus polyacanthus Engelm.,Echinocereus polyacanthus
Opuntia,Opuntia basilaris,Opuntia intricata Griffiths,Opuntia basilaris
Opuntia,Opuntia cochinera,Opuntia × cochinera Griffiths,Opuntia x cochinera
